name,followers,followings,follow ratio,muters,reputation,effective sp,own sp,sp ratio,curation_rewards,posting_rewards,witnesses_voted_for,posts,average_post_len,comments,average_comment_len,comments_with_link_ratio,posts_to_comments_ratio,class
fuadmaulana,198,24,0.12121212121212122,0,38.98958314423809,5.284368975968077,4.281839687774131,1.2341351758349226,0.005,4.482,1,0,0,0,0,0,0,0
ltfbyz,58,31,0.5344827586206896,0,42.41359147997531,5.036457807940036,3.319923926905431,1.5170401246617182,0.011,5.517,0,0,0,0,0,0,0,0
papanero,460,191,0.4152173913043478,1,60.42220730005967,254.42715963476527,254.42715963476527,1.0,9.631,631.063,0,88,388,141,29,0E-14,0.624113475177305,0
pialejoana,356,10,0.028089887640449437,0,62.886618219920344,484.28091119118847,559.3847133404473,0.8657385510219513,5.795,1103.086,2,88,2130,1896,379,0.70464135021097,0.046413502109704644,0
adarshagni,700,63,0.09,1,50.38977339918399,17.64393363247491,17.64393363247491,1.0,0.001,38.989,0,12,1332,4,29,0E-14,3.0,0
pialejoana,356,10,0.028089887640449437,0,62.886618219920344,484.28091119118847,559.3847133404473,0.8657385510219513,5.795,1103.086,2,88,2130,1896,379,0.70464135021097,0.046413502109704644,0
uniqueknowledge,226,81,0.3584070796460177,0,47.46729830904373,6.048809368420784,5.0397671209324235,1.200216046352093,0.075,25.27,7,0,0,1,8,0E-14,0.0,0
jesusdiazmaica,190,7,0.03684210526315789,0,44.72839515434464,15.079935280811073,5.795509053991424,2.6020035755833,0.0,11.325,0,2,337,0,0,0,0,0
playfulfoodie,3820,537,0.1405759162303665,15,68.45836410528604,7460.4400145762065,7460.4400145762065,1.0,765.094,8592.788,17,46,4924,181,270,0.02209944751381,0.2541436464088398,0
wakjal12,152,38,0.25,0,29.41923481308964,5.0265667791629856,0.6228596383315379,8.070143688596863,0.009,0.252,0,0,0,0,0,0,0,0
iamfusion,201,60,0.29850746268656714,0,25.0,5.02197349070962,0.5129875092326187,9.789660372475778,0.003,0.0,0,0,0,0,0,0,0,0
naruitchi,570,483,0.8473684210526315,3,60.13802376294566,309.6961281060836,329.87290559590116,0.9388346931574478,3.406,646.377,14,42,341,0,0,0,0,0
mugiwaranohaqqi,395,83,0.21012658227848102,2,52.876538388897956,48.5748932768675,48.5748932768675,1.0,0.385,94.822,3,65,290,1,12,0E-14,65.0,0
click3rs,3814,5003,1.3117461982170948,8,56.52166599028792,130.46908820179888,232.72971729655495,0.5606034747833649,2.212,295.008,0,81,1116,8,23,0E-14,10.125,0
harwalis05,369,139,0.37669376693766937,0,34.35390754259422,15.093606438855344,1.572012853484318,9.601452307085678,0.027,2.027,0,17,529,5,27,0E-14,3.4,0
taufit333,438,527,1.2031963470319635,1,43.11469921960543,1.8814026622177524,3.2985631142701397,0.5703703694734497,0.038,10.549,29,0,0,0,0,0,0,0
unnun,354,121,0.3418079096045198,1,49.56059711034327,62.0180060959508,62.0180060959508,1.0,0.309,51.102,30,2,657,1,180,0E-14,2.0,0
schubes,492,111,0.22560975609756098,1,59.74821191300212,88.71725414692963,474.6793040518839,0.18689935160356722,0.974,659.246,3,44,1325,48,90,0.08333333333333,0.9166666666666666,0
ahmetsaritas,287,51,0.17770034843205576,1,25.0,15.078752438852424,5.5713900785592045,2.706461444313711,0.0,0.007,0,0,0,0,0,0,0,0
