name,followers,followings,follow ratio,muters,reputation,effective sp,own sp,sp ratio,curation_rewards,posting_rewards,witnesses_voted_for,posts,average_post_len,comments,average_comment_len,comments_with_link_ratio,posts_to_comments_ratio,class
anthowarlike,212,34,0.16037735849056603,0,56.40919308608187,134.94645763808097,134.94645763808097,1.0,0.654,265.146,0,0,0,0,0,0,0,0
gokcehan61,4117,16596,4.031090599951421,19,51.23325992414746,1.8404261638142978,6.897189152380587,0.26683713077218835,0.378,143.148,3,0,0,0,0,0,0,0
mimikombat,773,701,0.906856403622251,2,60.575495413676734,150.34100216497959,388.2050865763448,0.3872721078718101,4.34,762.985,0,125,3366,401,50,0.08478802992518,0.3117206982543641,0
stixxzyy,238,4,0.01680672268907563,0,55.10369229401804,83.56540669071401,83.56540669071401,1.0,0.0,166.17,0,80,280,0,0,0,0,0
akintunde,2171,589,0.27130354675264856,9,62.34384303946869,311.9804049198001,448.9345375160764,0.6949351828575409,11.737,1025.171,19,21,1941,26,241,0.11538461538461,0.8076923076923077,0
bryangav,718,80,0.11142061281337047,0,55.21710159817381,279.184366334847,77.04669323703722,3.6235736357422272,3.779,183.609,8,62,3023,37,263,0.78378378378378,1.6756756756756757,0
plouton,50,9,0.18,0,44.422356512073904,15.009542539835705,6.31364091520011,2.377319638768208,0.011,11.527,0,0,0,0,0,0,0,0
marzukie,1546,2585,1.6720569210866754,6,54.13009278640886,94.6321060719695,94.6321060719695,1.0,2.988,146.743,30,77,2597,361,90,0.01939058171745,0.21329639889196675,0
lisnabuah,25,2,0.08,0,42.741003443690865,11.90729443037081,0.26926879021675537,44.22084869466566,0.002,5.931,0,0,0,0,0,0,0,0
nappingkid,255,15,0.058823529411764705,1,56.96955062524209,177.32828178594934,177.32828178594934,1.0,1.11,274.575,0,103,290,8,45,0E-14,12.875,0
itsmskali,118,24,0.2033898305084746,0,41.77467721263745,5.015002521371756,3.5695374137297136,1.4049446581179592,0.022,4.982,0,0,0,0,0,0,0,0
rahmato,341,99,0.2903225806451613,0,34.39758570191087,15.02712609325795,1.2881142603578923,11.665988457485737,0.008,0.686,0,23,875,9,27,0E-14,2.5555555555555554,0
theuniqornaments,305,14,0.04590163934426229,0,45.98411291178595,1.863324924889628,0.046183813249711936,40.345844004149015,0.054,12.777,1,39,369,2,19,0E-14,19.5,0
alexcarlos,232,25,0.10775862068965517,0,52.32464843151327,43.36501938436394,43.36501938436394,1.0,0.064,83.009,0,50,1182,2,39,0E-14,25.0,0
